Fecha,Día Semana,Tipo Post,Tema,Red Social,Hora Publicación,Caption,Hashtags,Estado
2026-02-05,Miércoles,Tip Práctico,Automatización de emails B2B,Instagram|LinkedIn,09:00,GENERADO_POR_IA,#AutomatizacionB2B #EmailMarketing #IA,Pendiente
2026-02-05,Miércoles,Tendencia IA,GPT-4 para ventas,X|LinkedIn,14:00,GENERADO_POR_IA,#AI #GPT4 #VentasB2B,Pendiente
2026-02-06,Jueves,Caso de Uso,Cliente redujo CAC 40%,LinkedIn,08:00,GENERADO_POR_IA,#CaseStudy #ResultadosReales #B2B,Pendiente
2026-02-06,Jueves,Behind Scenes,Cómo funciona nuestro agente SDR,Instagram|TikTok,19:00,GENERADO_POR_IA,#BehindTheScenes #AIAgents,Pendiente
2026-02-07,Viernes,Quote,Sobre el futuro de la automatización,Instagram|Facebook,10:00,GENERADO_POR_IA,#Motivacion #FuturoIA #Tech,Pendiente
2026-02-08,Sábado,Educación,Tutorial: Conectar CRM con WhatsApp,LinkedIn|YouTube,11:00,GENERADO_POR_IA,#Tutorial #Automation #HowTo,Pendiente
2026-02-09,Domingo,Community,¿Cuál es tu mayor desafío en ventas?,Instagram|X,17:00,GENERADO_POR_IA,#Community #Engagement #B2BSales,Pendiente
2026-02-10,Lunes,Tip Práctico,Lead scoring automático,Instagram|LinkedIn,09:00,GENERADO_POR_IA,#LeadScoring #MarketingAutomation,Pendiente
2026-02-10,Lunes,Tendencia IA,Agentes autónomos en 2026,X|LinkedIn,15:00,GENERADO_POR_IA,#AIPredictions #AutonomousAgents,Pendiente
2026-02-11,Martes,Caso de Uso,De 10 a 100 leads/mes con IA,LinkedIn,08:00,GENERADO_POR_IA,#LeadGeneration #ScaleUp #IA,Pendiente
2026-02-11,Martes,Video Corto,Demo del producto en 60seg,Instagram|TikTok|Facebook,18:00,GENERADO_POR_IA,#ProductDemo #AIinAction,Pendiente
2026-02-12,Miércoles,Tip Práctico,Optimizar campañas con datos,Instagram|LinkedIn,09:00,GENERADO_POR_IA,#DataDriven #Marketing #Analytics,Pendiente
2026-02-13,Jueves,Behind Scenes,Un día en GenerArise,Instagram Stories,19:00,GENERADO_POR_IA,#DayInTheLife #StartupLife,Pendiente
2026-02-14,Viernes,Quote,Innovación y persistencia,Instagram|Facebook|X,10:00,GENERADO_POR_IA,#FridayMotivation #Innovation,Pendiente
2026-02-15,Sábado,Educación,Cómo elegir tu stack de automatización,LinkedIn,11:00,GENERADO_POR_IA,#TechStack #Automation #Guide,Pendiente
2026-02-16,Domingo,Community,Comparte tu win de la semana,Instagram|X,17:00,GENERADO_POR_IA,#WeeklyWins #Community,Pendiente
